Data;Hour;Hs(m);Tp(s);Dir(N)
20071001;01:00;0.38;4.63;190.80
20071001;02:00;0.38;5.00;184.06
20071001;03:00;0.28;4.85;203.65
20071001;04:00;0.25;4.86;184.68
20071001;05:00;0.25;5.19;216.43
20071001;06:00;0.20;5.04;221.62
20071001;07:00;0.26;5.22;209.72
20071001;08:00;0.36;2.60;164.19
20071001;09:00;0.39;4.84;162.68
20071001;10:00;0.35;5.44;194.84
20071001;11:00;0.38;5.36;186.82
20071001;12:00;0.40;5.17;191.38
20071001;13:00;0.43;7.84;176.98
20071001;14:00;0.39;7.71;168.00
20071001;15:00;0.36;7.87;188.32
20071001;16:00;0.35;8.22;187.19
20071001;17:00;0.33;10.50;210.88
20071001;18:00;0.24;11.31;212.53
20071001;19:00;0.27;10.64;194.45
20071001;20:00;0.31;10.29;198.74
20071001;21:00;0.31;9.72;189.40
20071001;22:00;0.32;8.68;196.77
20071001;23:00;0.38;8.88;183.77
20071002;00:00;0.53;8.82;202.32
20071002;01:00;0.44;8.71;187.38
20071002;02:00;0.61;8.75;188.31
20071002;03:00;0.42;8.95;194.75
20071002;04:00;0.43;9.27;200.60
20071002;05:00;0.29;10.10;199.45
20071002;06:00;0.29;9.80;205.77
20071002;07:00;0.24;9.80;205.14
20071002;08:00;0.26;9.87;199.20
20071002;09:00;0.27;9.28;191.86
20071002;10:00;0.28;9.23;194.87
20071002;11:00;0.30;8.89;190.16
20071002;12:00;0.36;8.68;191.18
20071002;13:00;0.41;8.47;195.84
20071002;14:00;0.49;8.72;202.05
20071002;15:00;0.41;8.97;204.39
20071002;16:00;0.36;9.35;205.56
20071002;17:00;0.29;9.21;211.64
20071002;18:00;0.24;9.35;214.98
20071002;19:00;0.24;9.79;180.90
20071002;20:00;0.24;9.39;182.42
20071002;21:00;0.22;9.23;195.20
20071002;22:00;0.25;8.58;212.79
20071002;23:00;0.27;8.20;206.65
20071003;00:00;0.28;8.23;190.17
20071003;01:00;0.30;8.05;183.79
20071003;02:00;0.26;7.75;215.36
20071003;03:00;0.28;7.83;196.82
20071003;04:00;0.29;7.96;215.64
20071003;05:00;0.28;8.27;210.60
20071003;06:00;0.20;8.42;189.67
20071003;07:00;0.18;9.10;149.10
20071003;08:00;0.19;8.46;200.55
20071003;09:00;0.21;7.98;194.29
20071003;10:00;0.19;7.82;206.32
20071003;11:00;0.19;7.31;217.47
20071003;12:00;0.20;7.64;201.02
20071003;13:00;0.22;7.04;202.52
20071003;14:00;0.24;7.62;183.63
20071003;15:00;0.25;7.16;189.17
20071003;16:00;0.26;7.99;194.60
20071003;17:00;0.30;2.26;211.36
20071003;18:00;0.34;2.43;207.31
20071003;19:00;0.28;2.78;224.35
20071003;20:00;0.25;2.49;207.54
20071003;21:00;0.31;2.44;232.03
20071003;22:00;0.30;7.88;205.98
20071003;23:00;0.32;2.23;206.48
20071004;00:00;0.30;2.66;199.34
20071004;01:00;0.34;2.58;192.29
20071004;02:00;0.32;2.66;209.98
20071004;03:00;0.36;2.91;200.90
20071004;04:00;0.40;3.21;208.47
20071004;05:00;0.38;3.01;202.74
20071004;06:00;0.37;3.26;205.37
20071004;07:00;0.36;3.44;226.14
20071004;08:00;0.30;4.00;211.75
20071004;09:00;0.26;3.88;220.38
20071004;10:00;0.24;4.12;205.71
20071004;11:00;0.24;3.87;190.38
20071004;12:00;0.24;3.67;204.50
20071004;13:00;0.23;3.51;204.61
20071004;14:00;0.27;2.88;191.75
20071004;15:00;0.25;9.12;189.91
20071004;16:00;0.30;9.22;191.11
20071004;17:00;0.28;8.28;211.62
20071004;18:00;0.26;9.71;166.66
20071004;19:00;0.25;8.87;185.50
20071004;20:00;0.21;8.77;216.13
20071004;21:00;0.19;8.20;199.22
20071004;22:00;0.16;9.72;216.74
20071004;23:00;0.14;9.45;200.26
20071005;00:00;0.14;9.33;151.13
20071005;01:00;0.16;9.10;181.56
20071005;02:00;0.15;9.36;201.20
20071005;03:00;0.15;9.76;184.96
20071005;04:00;0.16;9.82;238.39
20071005;05:00;0.17;9.70;235.73
20071005;06:00;0.18;9.64;202.92
20071005;07:00;0.19;9.49;113.47
20071005;08:00;0.17;10.75;281.48
20071005;09:00;0.15;10.29;252.10
20071005;10:00;0.14;9.88;140.08
20071005;11:00;0.13;9.54;329.55
20071005;12:00;0.16;10.21;199.11
20071005;13:00;0.21;1.82;202.76
20071005;14:00;0.21;1.81;200.05
20071005;15:00;0.23;3.20;227.60
20071005;16:00;0.21;3.22;192.55
20071005;17:00;0.20;9.61;183.41
20071005;18:00;0.18;8.44;223.07
20071005;19:00;0.21;7.97;181.30
20071005;20:00;0.19;9.33;168.25
20071005;21:00;0.15;10.19;209.13
20071005;22:00;0.14;9.50;189.23
20071005;23:00;0.13;9.78;203.97
20071006;00:00;0.13;5.03;207.45
20071006;01:00;0.15;5.08;190.65
20071006;02:00;0.16;5.21;183.91
20071006;03:00;0.17;5.05;196.89
20071006;04:00;0.17;4.74;198.98
20071006;05:00;0.19;4.81;185.67
20071006;06:00;0.16;5.25;191.83
20071006;07:00;0.17;4.97;187.01
20071006;08:00;0.17;5.12;205.33
20071006;09:00;0.17;4.73;183.59
20071006;10:00;0.14;11.34;129.54
20071006;11:00;0.16;2.06;221.60
20071006;12:00;0.17;4.97;199.42
20071006;13:00;0.18;4.09;209.33
20071006;14:00;0.19;5.25;194.24
20071006;15:00;0.23;4.66;180.52
20071006;16:00;0.23;11.42;186.31
20071006;17:00;0.24;4.04;186.41
20071006;18:00;0.23;11.28;161.08
20071006;19:00;0.20;11.55;138.86
20071006;20:00;0.23;5.45;186.97
20071006;21:00;0.20;11.72;212.82
20071006;22:00;0.25;11.47;189.96
20071006;23:00;0.20;11.43;179.44
20071007;00:00;0.18;13.84;193.85
20071007;01:00;0.19;11.26;179.37
20071007;02:00;0.22;11.28;211.12
20071007;03:00;0.23;10.51;187.03
20071007;04:00;0.21;11.94;199.34
20071007;05:00;0.26;10.16;181.97
20071007;06:00;0.31;10.36;189.78
20071007;07:00;0.34;12.00;139.62
20071007;08:00;0.30;9.91;196.10
20071007;09:00;0.31;10.40;170.37
20071007;10:00;0.32;11.87;217.89
20071007;11:00;0.27;11.02;191.55
20071007;12:00;0.27;11.02;191.55
20071007;13:00;0.00;11.02;356.81
20071007;14:00;0.24;11.17;202.90
20071007;15:00;0.23;10.49;194.41
20071007;16:00;0.26;10.24;184.40
20071007;17:00;0.27;10.13;206.35
20071007;18:00;0.25;9.86;178.01
20071007;19:00;0.33;9.34;194.68
20071007;20:00;0.28;9.21;194.11
20071007;21:00;0.33;9.01;182.82
20071007;22:00;0.35;9.42;183.87
20071007;23:00;0.30;9.38;203.03
20071007;00:00;0.29;9.70;176.30
20071008;01:00;0.20;10.41;178.18
20071008;02:00;0.20;10.60;189.31
20071008;03:00;0.17;10.85;227.61
20071008;04:00;0.18;9.84;188.33
20071008;05:00;0.20;9.04;175.85
20071008;06:00;0.18;9.28;197.81
20071008;07:00;0.19;8.81;188.39
20071008;08:00;0.25;8.37;181.20
20071008;09:00;0.26;8.93;189.73
20071008;10:00;0.25;8.20;199.82
20071008;11:00;0.28;8.64;189.83
20071008;12:00;0.22;9.70;202.80
20071008;13:00;0.23;9.73;199.09
20071008;14:00;0.19;9.89;174.19
20071008;15:00;0.18;10.05;196.19
20071008;16:00;0.21;10.21;201.95
20071008;17:00;0.21;9.78;170.57
20071008;18:00;0.23;9.80;199.92
20071008;19:00;0.28;9.40;175.18
20071008;20:00;0.32;9.35;202.40
20071008;21:00;0.37;8.68;210.04
20071008;22:00;0.38;9.20;189.25
20071008;23:00;0.39;9.71;191.30
20071008;00:00;0.32;9.51;185.03
20071009;01:00;0.34;9.49;185.73
20071009;02:00;0.25;10.44;179.16
20071009;03:00;0.25;10.41;210.98
20071009;04:00;0.23;9.52;200.02
20071009;05:00;0.29;9.44;196.47
20071009;06:00;0.37;8.87;192.07
20071009;07:00;0.47;2.56;203.02
20071009;08:00;0.59;3.02;210.31
20071009;09:00;0.56;3.16;199.90
20071009;10:00;0.69;3.53;205.70
20071009;11:00;0.72;3.79;207.36
20071009;12:00;0.79;4.10;218.63
20071009;13:00;0.97;4.27;222.35
20071009;14:00;0.70;4.61;226.86
20071009;15:00;0.61;5.28;230.95
20071009;16:00;0.62;5.24;224.58
20071009;17:00;0.67;5.32;210.42
20071009;18:00;0.65;5.16;207.15
20071009;19:00;0.56;4.94;204.49
20071009;20:00;0.61;4.79;205.81
20071009;21:00;0.65;4.79;208.58
20071009;22:00;0.67;4.83;207.63
20071009;23:00;0.56;5.03;206.68
20071009;00:00;0.55;5.08;210.15
20071010;01:00;0.57;5.18;220.07
20071010;02:00;0.54;4.97;232.87
20071010;03:00;0.51;2.79;236.78
20071010;04:00;0.56;3.49;246.28
20071010;05:00;0.53;3.34;224.32
20071010;06:00;0.44;5.50;208.79
20071010;07:00;0.40;4.82;214.53
20071010;08:00;0.39;4.76;218.47
20071010;09:00;0.39;4.88;206.24
20071010;10:00;0.33;4.68;195.77
20071010;11:00;0.30;7.38;198.17
20071010;12:00;0.28;7.33;198.45
20071010;13:00;0.29;7.37;191.83
20071010;14:00;0.26;7.38;189.16
20071010;15:00;0.20;7.75;188.00
20071010;16:00;0.18;10.36;221.80
20071010;17:00;0.19;7.64;179.85
20071010;18:00;0.21;9.90;200.91
20071010;19:00;0.23;9.41;168.25
20071010;20:00;0.25;9.90;194.29
20071010;21:00;0.30;9.79;172.56
20071010;22:00;0.33;8.81;179.86
20071010;23:00;0.39;8.63;182.38
20071010;00:00;0.44;9.19;194.63
20071011;01:00;0.39;10.44;185.49
20071011;02:00;0.41;10.28;196.02
20071011;03:00;0.26;11.46;201.70
20071011;04:00;0.23;10.24;211.95
20071011;05:00;0.21;9.50;194.52
20071011;06:00;0.23;4.25;214.00
20071011;07:00;0.27;9.56;205.74
20071011;08:00;0.30;9.95;196.83
20071011;09:00;0.30;8.52;193.81
20071011;10:00;0.34;8.84;186.15
20071011;11:00;0.37;8.36;184.28
20071011;12:00;0.39;9.19;193.15
20071011;13:00;0.42;11.48;189.03
20071011;14:00;0.39;12.10;184.77
20071011;15:00;0.27;11.01;193.85
20071011;16:00;0.29;11.68;179.05
20071011;17:00;0.24;11.48;197.25
20071011;18:00;0.27;11.41;198.58
20071011;19:00;0.37;10.49;189.17
20071011;20:00;0.37;10.63;188.34
20071011;21:00;0.44;10.27;205.86
20071011;22:00;0.51;9.52;185.00
20071011;23:00;0.48;10.16;171.22
20071011;00:00;0.56;10.80;170.59
20071012;01:00;0.49;11.38;215.22
20071012;02:00;0.45;11.45;164.80
20071012;03:00;0.33;11.43;203.59
20071012;04:00;0.27;11.63;185.39
20071012;05:00;0.26;11.01;191.86
20071012;06:00;0.30;11.17;199.84
20071012;07:00;0.32;10.32;192.73
20071012;08:00;0.32;10.19;179.06
20071012;09:00;0.42;9.54;179.48
20071012;10:00;0.38;9.39;202.65
20071012;11:00;0.45;9.87;188.62
20071012;12:00;0.53;9.86;184.70
20071012;13:00;0.50;10.36;188.77
20071012;14:00;0.47;10.33;186.77
20071012;15:00;0.35;10.32;208.08
20071012;16:00;0.28;11.45;201.80
20071012;17:00;0.25;11.12;207.92
20071012;18:00;0.21;10.38;192.03
20071012;19:00;0.25;9.38;187.73
20071012;20:00;0.29;9.64;201.37
20071012;21:00;0.31;9.19;190.26
20071012;22:00;0.41;12.29;186.57
20071012;23:00;0.46;9.54;198.95
20071012;00:00;0.46;9.75;173.65
20071013;01:00;0.48;12.24;187.30
20071013;02:00;0.44;10.36;183.77
20071013;03:00;0.37;11.52;207.71
20071013;04:00;0.32;13.16;190.55
20071013;05:00;0.23;12.69;203.85
20071013;06:00;0.21;12.56;197.72
20071013;07:00;0.24;11.57;198.75
20071013;08:00;0.31;11.62;185.18
20071013;09:00;0.37;10.88;188.16
20071013;10:00;0.40;11.06;165.88
20071013;11:00;0.46;11.21;182.85
20071013;12:00;0.51;11.46;141.47
20071013;13:00;0.57;11.60;179.54
20071013;14:00;0.48;11.53;194.38
20071013;15:00;0.45;11.68;187.65
20071013;16:00;0.30;12.81;189.31
20071013;17:00;0.26;11.50;179.59
20071013;18:00;0.24;11.39;174.02
20071013;19:00;0.27;11.44;173.06
20071013;20:00;0.34;10.27;190.08
20071013;21:00;0.38;10.47;173.96
20071013;22:00;0.39;10.30;185.24
20071013;23:00;0.42;10.24;194.72
20071013;00:00;0.60;10.34;184.99
20071014;01:00;0.55;11.10;181.19
20071014;02:00;0.45;11.41;186.08
20071014;03:00;0.46;11.43;188.24
20071014;04:00;0.33;11.57;206.40
20071014;05:00;0.29;11.98;210.80
20071014;06:00;0.24;11.31;186.69
20071014;07:00;0.28;10.79;198.65
20071014;08:00;0.35;10.48;200.38
20071014;09:00;0.40;10.26;205.23
20071014;10:00;0.47;10.01;198.32
20071014;11:00;0.54;10.14;185.43
20071014;12:00;0.55;9.87;194.29
20071014;13:00;0.57;9.85;194.80
20071014;14:00;0.46;10.47;176.59
20071014;15:00;0.45;10.77;198.12
20071014;16:00;0.30;11.38;202.30
20071014;17:00;0.29;11.36;190.78
20071014;18:00;0.22;11.17;211.82
20071014;19:00;0.24;10.36;217.15
20071014;20:00;0.27;10.01;186.99
20071014;21:00;0.32;9.62;200.24
20071014;22:00;0.32;9.90;177.48
20071014;23:00;0.38;9.40;190.75
20071014;00:00;0.45;8.94;187.96
20071015;01:00;0.45;9.44;196.47
20071015;02:00;0.43;10.54;183.91
20071015;03:00;0.39;10.69;186.81
